BORO,ZIP CODE,count,coords,bbl
BROOKLYN,11221,1,-73.914605,40.687837,3033950001
BROOKLYN,11221,1,-73.914605,40.687837,3033950001
BRONX,10468,1,-73.905735,40.862209,2032180035
BROOKLYN,11219,1,-73.996924,40.625286,3057340024
BROOKLYN,11211,1,-73.955765,40.705316,3022070001
BROOKLYN,11206,1,-73.94392,40.706646,3030610031
MANHATTAN,10009,2,-73.980125,40.726017,1003910007
BROOKLYN,11203,1,-73.929907,40.660813,3045920024
BROOKLYN,11233,1,-73.906751,40.675896,3014360023
MANHATTAN,10002,1,-73.983277,40.715825,1003360005
BROOKLYN,11233,1,-73.924725,40.682681,3016780084
BRONX,10460,1,-73.889016,40.832894,2029880014
BRONX,10455,2,-73.904198,40.813979,2026740038
STATEN ISLAND,10304,1,-74.076085,40.628913,5004900004
BROOKLYN,11203,1,-73.930929,40.660151,3046040075
QUEENS,11691,2,-73.751729,40.603101,4155600012
MANHATTAN,10009,1,-73.986344,40.723005,1004290029
MANHATTAN,10031,1,-73.946909,40.825205,1020600001
BROOKLYN,11212,1,-73.914444,40.660321,3035830001
QUEENS,11433,1,-73.779458,40.694786,4102820125
QUEENS,11429,1,-73.754974,40.706233,4109420104
QUEENS,11413,1,-73.742313,40.698652,4112980008
BRONX,10456,1,-73.912232,40.830689,2024290015
MANHATTAN,10002,1,-73.98828,40.717364,1003510001
BRONX,10455,1,-73.914716,40.813889,2022740012
MANHATTAN,10031,1,-73.938257,40.818261,1020100030
MANHATTAN,10024,1,-73.977291,40.788938,1012347502
BRONX,10452,1,-73.918813,40.836317,2024800001
BRONX,10453,1,-73.921012,40.849316,2028770276
BRONX,10452,1,-73.926513,40.83537,2025130038
BRONX,10459,1,-73.902843,40.819572,2026660066
MANHATTAN,10034,1,-73.919011,40.865305,1022230024
MANHATTAN,10011,2,-73.995582,40.73786,1008170072
BROOKLYN,11219,1,-73.997396,40.642481,3056070019
